fold,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,macro_f1
1,0.9964285714285714,0.9926470588235294,1.0,0.996309963099631,1.0,0.993103448275862,0.9965397923875432,0.9964248777435871
2,0.9964285714285714,0.9926470588235294,1.0,0.996309963099631,1.0,0.993103448275862,0.9965397923875432,0.9964248777435871
3,0.9964285714285714,1.0,0.9925925925925926,0.996282527881041,0.9931506849315068,1.0,0.9965635738831615,0.9964230508821013
4,0.9892857142857143,0.9782608695652174,1.0,0.989010989010989,1.0,0.9793103448275862,0.9895470383275261,0.9892790136692575
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.9964285714285714,0.9925925925925926,1.0,0.996282527881041,1.0,0.9931506849315068,0.9965635738831615,0.9964230508821013
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.996415770609319,0.9925925925925926,1.0,0.996282527881041,1.0,0.993103448275862,0.9965397923875432,0.9964111601342921
9,0.992831541218638,0.9852941176470589,1.0,0.9925925925925926,1.0,0.9862068965517241,0.9930555555555556,0.9928240740740741
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
