metric,precision,recall,f1-score,support,fold
0,0.9926470588235294,1.0,0.996309963099631,135.0,1
1,1.0,0.993103448275862,0.9965397923875432,145.0,1
accuracy,0.9964285714285714,0.9964285714285714,0.9964285714285714,0.9964285714285714,1
macro avg,0.9963235294117647,0.996551724137931,0.9964248777435871,280.0,1
weighted avg,0.9964548319327731,0.9964285714285714,0.9964289818380142,280.0,1
0,0.9926470588235294,1.0,0.996309963099631,135.0,2
1,1.0,0.993103448275862,0.9965397923875432,145.0,2
accuracy,0.9964285714285714,0.9964285714285714,0.9964285714285714,0.9964285714285714,2
macro avg,0.9963235294117647,0.996551724137931,0.9964248777435871,280.0,2
weighted avg,0.9964548319327731,0.9964285714285714,0.9964289818380142,280.0,2
0,1.0,0.9925925925925926,0.996282527881041,135.0,3
1,0.9931506849315068,1.0,0.9965635738831615,145.0,3
accuracy,0.9964285714285714,0.9964285714285714,0.9964285714285714,0.9964285714285714,3
macro avg,0.9965753424657534,0.9962962962962962,0.9964230508821013,280.0,3
weighted avg,0.9964530332681019,0.9964285714285714,0.9964280695607105,280.0,3
0,0.9782608695652174,1.0,0.989010989010989,135.0,4
1,1.0,0.9793103448275862,0.9895470383275261,145.0,4
accuracy,0.9892857142857143,0.9892857142857143,0.9892857142857143,0.9892857142857143,4
macro avg,0.9891304347826086,0.9896551724137931,0.9892790136692575,280.0,4
weighted avg,0.9895186335403727,0.9892857142857143,0.9892885859784813,280.0,4
0,1.0,1.0,1.0,134.0,5
1,1.0,1.0,1.0,146.0,5
accuracy,1.0,1.0,1.0,1.0,5
macro avg,1.0,1.0,1.0,280.0,5
weighted avg,1.0,1.0,1.0,280.0,5
0,0.9925925925925926,1.0,0.996282527881041,134.0,6
1,1.0,0.9931506849315068,0.9965635738831615,146.0,6
accuracy,0.9964285714285714,0.9964285714285714,0.9964285714285714,0.9964285714285714,6
macro avg,0.9962962962962962,0.9965753424657534,0.9964230508821013,280.0,6
weighted avg,0.9964550264550265,0.9964285714285714,0.9964290732964324,280.0,6
0,1.0,1.0,1.0,134.0,7
1,1.0,1.0,1.0,145.0,7
accuracy,1.0,1.0,1.0,1.0,7
macro avg,1.0,1.0,1.0,279.0,7
weighted avg,1.0,1.0,1.0,279.0,7
0,0.9925925925925926,1.0,0.996282527881041,134.0,8
1,1.0,0.993103448275862,0.9965397923875432,145.0,8
accuracy,0.996415770609319,0.996415770609319,0.996415770609319,0.996415770609319,8
macro avg,0.9962962962962962,0.996551724137931,0.9964111601342921,279.0,8
weighted avg,0.9964423204566574,0.996415770609319,0.9964162316568216,279.0,8
0,0.9852941176470589,1.0,0.9925925925925926,134.0,9
1,1.0,0.9862068965517241,0.9930555555555556,145.0,9
accuracy,0.992831541218638,0.992831541218638,0.992831541218638,0.992831541218638,9
macro avg,0.9926470588235294,0.993103448275862,0.9928240740740741,279.0,9
weighted avg,0.9929369597301285,0.992831541218638,0.9928332005840966,279.0,9
0,1.0,1.0,1.0,134.0,10
1,1.0,1.0,1.0,145.0,10
accuracy,1.0,1.0,1.0,1.0,10
macro avg,1.0,1.0,1.0,279.0,10
weighted avg,1.0,1.0,1.0,279.0,10
